"Time","Event",""
"09:30.167","Red Hot Divers' Dare Byn Al'arnab 30876 (U: 59007, M: 28131, 47.67%)--48% damage",""
"09:30.167","Deep Blue Divers' Dare Byn Al'arnab 32285 (U: 58615, M: 26330, 44.92%)--45% damage",""
"09:30.211","Red Hot Divers' Dare Aloliona Aster 64303 (U: 98312, M: 34009, 34.59%)--35% damage",""
"09:30.211","Deep Blue Divers' Dare Aloliona Aster 63557 (U: 92313, M: 28756, 31.15%)--31% damage",""
"09:30.256","Red Hot Divers' Dare Soulless Happymeal 69891 (U: 106855, M: 36964, 34.59%)--35% damage",""
"09:30.256","Deep Blue Divers' Dare Soulless Happymeal 71845 (U: 104351, M: 32506, 31.15%)--31% damage",""
"09:30.613","Deep Blue prepares  Attack  on Byn Al'arnab--39% damage",""
"09:31.417","Deep Blue Attack Byn Al'arnab (A: 35847)--39% damage",""
"09:32.310","Red Hot Attack Rexx Aprilis Immune",""
"09:38.494","Red Hot prepares  Divers' Dare  on Mini Wizard--23% damage",""
"09:38.494","Red Hot Divers' Dare Rexx Aprilis Immune",""
"09:38.494","Red Hot prepares  Divers' Dare  on Byn Al'arnab--38% damage",""
"09:38.494","Red Hot prepares  Divers' Dare  on Aloliona Aster 14474 (U: 18810)--23% damage",""
"09:38.494","Red Hot prepares  Divers' Dare  on Amelia Mercer--38% damage",""
"09:38.494","Red Hot prepares  Divers' Dare  on Rose Joli-ciel 12803 (U: 16639)--23% damage",""
"09:38.494","Red Hot prepares  Divers' Dare  on Lyra Willow 10518 (U: 15188)--31% damage",""
"09:38.494","Red Hot prepares  Divers' Dare  on Soulless Happymeal 2093 (U: 2720)--23% damage",""
"09:38.494","Deep Blue prepares  Divers' Dare  on Mini Wizard 87789 (U: 97544)--10% damage",""
"09:38.494","Deep Blue Divers' Dare Rexx Aprilis Immune",""
"09:38.494","Deep Blue prepares  Divers' Dare  on Rose Joli-ciel 82510 (U: 91678)--10% damage",""
"09:38.494","Deep Blue prepares  Divers' Dare  on Amelia Mercer 22043 (U: 30238)--27% damage",""
